1622505600000,37254.08000000,37682.09000000,37122.97000000,37529.83000000,44.18663400,1622506499999,1657677.58471338,1142,18.60941900,698222.99598980,0
1622506500000,37528.67000000,37751.51000000,37479.71000000,37751.51000000,34.79861000,1622507399999,1307227.85696419,791,13.44689000,505539.04349148,0
1622507400000,37745.81000000,37810.40000000,37562.59000000,37727.76000000,24.79721200,1622508299999,935351.41000466,728,10.96040200,413540.07534578,0
1622508300000,37719.58000000,37920.31000000,37643.14000000,37801.15000000,38.78370800,1622509199999,1464847.27858376,981,12.92579900,488469.33729164,0
1622509200000,37811.28000000,37818.02000000,37592.88000000,37674.31000000,78.44719800,1622510099999,2951667.24945144,1040,63.02838300,2370639.25220252,0
1622510100000,37685.20000000,37744.60000000,37375.60000000,37494.99000000,25.09058100,1622510999999,942458.70393186,802,10.89012600,408790.90165971,0
1622511000000,37492.18000000,37492.18000000,37261.68000000,37376.82000000,17.01030500,1622511899999,635480.07536966,668,8.91604100,332982.74436364,0
1622511900000,37371.55000000,37373.63000000,37167.29000000,37207.42000000,15.08483500,1622512799999,562344.91005932,513,7.27658900,271232.42011363,0
1622512800000,37199.50000000,37299.66000000,36772.40000000,36867.43000000,31.35697600,1622513699999,1160835.61560300,1162,14.38064300,532080.52302074,0
1622513700000,36876.37000000,36940.15000000,36637.93000000,36789.44000000,35.60219200,1622514599999,1310373.99956387,751,15.94934200,586527.31333030,0
1622514600000,36782.19000000,36958.79000000,36769.73000000,36827.00000000,14.26011100,1622515499999,525773.99625937,454,8.23926100,303898.93486150,0
1622515500000,36837.27000000,36858.13000000,36707.70000000,36851.65000000,9.66711900,1622516399999,355674.83285569,419,5.09852100,187604.64977528,0
1622516400000,36851.96000000,36999.64000000,36755.67000000,36982.99000000,7.05622300,1622517299999,260356.63926945,347,4.01302100,148069.56148355,0
1622517300000,37000.95000000,37125.09000000,36880.98000000,36880.98000000,21.82253700,1622518199999,808749.41447713,694,7.99391100,296055.90191252,0
1622518200000,36860.59000000,36860.59000000,36530.56000000,36656.93000000,32.38735200,1622519099999,1186700.30615053,684,20.09861000,736350.75606794,0
1622519100000,36656.86000000,36789.60000000,36496.51000000,36712.47000000,21.59727800,1622519999999,791195.97337686,569,7.48784800,274106.40847781,0
1622520000000,36701.34000000,36806.97000000,36566.62000000,36726.50000000,12.96254100,1622520899999,475780.72590154,476,7.74896600,284408.79370515,0
1622520900000,36708.87000000,36849.84000000,36623.49000000,36848.49000000,11.55587700,1622521799999,424739.39531830,400,8.01283200,294584.30171243,0
1622521800000,36855.94000000,36961.05000000,36776.41000000,36895.77000000,9.56367000,1622522699999,352567.59891132,376,4.40273300,162395.40341058,0
1622522700000,36883.96000000,36888.14000000,36750.00000000,36751.02000000,18.59314600,1622523599999,683932.65391412,512,3.26102500,120105.12396625,0
1622523600000,36751.01000000,36967.79000000,36713.65000000,36865.11000000,9.85168400,1622524499999,362888.73808183,336,3.16764700,116806.25898173,0
1622524500000,36872.03000000,37057.08000000,36834.56000000,36978.37000000,34.55738300,1622525399999,1277619.96570112,695,7.26450500,268600.99684240,0
1622525400000,36969.85000000,37152.39000000,36964.21000000,37117.69000000,14.79369900,1622526299999,548709.32967721,508,7.16493100,265628.10736157,0
1622526300000,37114.42000000,37365.63000000,37114.42000000,37262.45000000,17.24269700,1622527199999,642693.58146017,604,9.74521600,363249.40902922,0
1622527200000,37250.00000000,37441.91000000,37185.94000000,37366.46000000,23.14249600,1622528099999,864134.47874847,625,13.00113600,485566.68603585,0
1622528100000,37375.47000000,37395.59000000,37024.36000000,37109.51000000,34.31253100,1622528999999,1275686.55456868,635,24.97932300,928173.74066017,0
1622529000000,37097.80000000,37097.80000000,36778.02000000,36851.46000000,24.27148300,1622529899999,894824.17881843,609,15.83624600,583693.49978452,0
1622529900000,36816.58000000,36977.78000000,36728.36000000,36943.27000000,14.86228200,1622530799999,547431.22775892,427,7.48725900,275581.83105980,0
1622530800000,36942.00000000,37181.39000000,36795.80000000,36910.19000000,14.17991800,1622531699999,524671.35143040,691,7.23405900,267817.53203121,0
1622531700000,36903.16000000,36921.54000000,36775.34000000,36778.31000000,11.90024800,1622532599999,438456.05002472,321,7.50611200,276555.68536886,0
1622532600000,36775.34000000,36881.09000000,36651.83000000,36768.22000000,26.23024600,1622533499999,964141.27885908,677,15.46266300,567988.55349453,0
1622533500000,36760.62000000,36881.29000000,36723.66000000,36826.75000000,4.59378100,1622534399999,169162.35868066,307,2.23400600,82280.01903718,0
1622534400000,36826.91000000,36942.37000000,36180.00000000,36271.87000000,37.38527900,1622535299999,1363196.79106842,1081,18.55491100,676507.66818637,0
1622535300000,36265.40000000,36330.00000000,36000.00000000,36176.80000000,35.71849200,1622536199999,1292226.61874462,961,18.54449400,671073.91602932,0
1622536200000,36194.33000000,36247.71000000,35846.14000000,36037.59000000,44.78604100,1622537099999,1617598.87854526,903,22.28321900,804982.18706776,0
1622537100000,36069.06000000,36235.11000000,35916.71000000,36188.71000000,35.20501400,1622537999999,1272355.32232607,855,13.24483800,478651.19675028,0
1622538000000,36186.83000000,36348.72000000,36140.03000000,36221.50000000,18.33261300,1622538899999,664795.38601901,623,3.49572400,126766.82200785,0
1622538900000,36228.30000000,36268.68000000,36040.33000000,36068.34000000,21.47110700,1622539799999,775903.11594309,792,6.46223400,233585.60894475,0
1622539800000,36068.07000000,36241.10000000,35973.07000000,36210.33000000,16.41599500,1622540699999,592796.77314433,697,9.10925100,328964.97887550,0
1622540700000,36235.50000000,36358.33000000,36109.39000000,36230.87000000,11.12207000,1622541599999,402958.80932766,537,6.74652800,244408.42303254,0
1622541600000,36229.67000000,36346.43000000,36090.32000000,36242.23000000,14.92131000,1622542499999,540571.29443701,502,8.71060500,315540.73246070,0
1622542500000,36248.61000000,36471.12000000,36248.61000000,36441.16000000,18.53670200,1622543399999,674889.59190856,610,10.14549300,369331.15775831,0
1622543400000,36447.89000000,36500.00000000,36343.52000000,36500.00000000,8.52405600,1622544299999,310438.30423547,407,5.24681600,191132.25745394,0
1622544300000,36514.95000000,36586.62000000,36237.13000000,36424.45000000,20.58389400,1622545199999,749514.12425583,649,11.29593200,411256.44945384,0
1622545200000,36435.75000000,36471.46000000,36287.79000000,36397.56000000,81.93176300,1622546099999,2984783.81494361,1285,9.76149600,355407.10997993,0
1622546100000,36414.80000000,36733.80000000,36414.80000000,36595.69000000,19.80193600,1622546999999,724523.77679998,787,11.54597100,422490.96186537,0
1622547000000,36602.07000000,36756.04000000,36583.01000000,36632.05000000,22.32022000,1622547899999,818371.35734865,697,10.88895100,399154.29431792,0
1622547900000,36631.70000000,36650.70000000,36537.74000000,36598.01000000,14.24638800,1622548799999,521296.12730151,614,8.40534400,307656.84429318,0
1622548800000,36602.39000000,36602.98000000,36172.01000000,36197.81000000,20.92390300,1622549699999,761031.05565957,838,10.50420700,382410.32546764,0
1622549700000,36211.30000000,36343.13000000,36116.99000000,36227.74000000,37.23033700,1622550599999,1348878.42955270,748,17.79614400,645050.60792875,0
1622550600000,36247.90000000,37450.00000000,36232.39000000,36314.41000000,53.99442800,1622551499999,1974588.54233409,999,45.41385300,1661717.43248670,0
1622551500000,36325.29000000,36328.74000000,36129.82000000,36152.01000000,21.08073800,1622552399999,764444.40540953,776,7.54125000,273410.21788361,0
1622552400000,36172.43000000,36224.75000000,35660.45000000,35793.41000000,47.03534200,1622553299999,1687873.24108958,1206,22.05350200,791476.32685742,0
1622553300000,35815.39000000,36626.52000000,35729.12000000,36529.79000000,62.18178700,1622554199999,2244166.43427040,1334,39.13652700,1412756.65931584,0
1622554200000,36531.79000000,37448.44000000,36531.79000000,37390.66000000,148.44380300,1622555099999,5505036.61913091,2531,57.23147900,2120752.70979206,0
1622555100000,37376.61000000,37393.04000000,36886.79000000,37042.80000000,68.56715300,1622555999999,2545112.23669671,1197,31.79598300,1180867.11571337,0
1622556000000,37041.95000000,37289.37000000,36973.88000000,36995.40000000,75.16751100,1622556899999,2792488.09678249,1150,37.49512600,1392891.17360664,0
1622556900000,36990.66000000,36990.66000000,36610.00000000,36864.42000000,44.89964600,1622557799999,1652586.02424891,903,24.23554100,891778.81966150,0
1622557800000,36857.68000000,36950.00000000,36753.58000000,36832.93000000,27.58589700,1622558699999,1016630.08462676,599,13.80738800,508821.75983636,0
1622558700000,36836.05000000,36958.97000000,36424.21000000,36644.00000000,51.91609900,1622559599999,1901230.41509136,1031,28.66975400,1050624.00997840,0
1622559600000,36608.17000000,36641.75000000,36200.04000000,36292.82000000,50.87551200,1622560499999,1849649.50183766,861,40.46201100,1471001.16698132,0
1622560500000,36274.75000000,36391.62000000,36109.32000000,36349.80000000,24.62091800,1622561399999,893362.46682617,691,15.60837100,566451.28665826,0
1622561400000,36346.31000000,36360.58000000,36034.30000000,36220.85000000,39.13131300,1622562299999,1418853.30982593,797,20.87988700,756818.74935947,0
1622562300000,36256.93000000,36262.38000000,36100.00000000,36251.41000000,16.25067900,1622563199999,588346.89732373,645,6.64590500,240638.91575940,0
1622563200000,36222.36000000,36487.19000000,36034.30000000,36209.27000000,25.33336200,1622564099999,917269.00923478,799,12.81696400,464014.84177366,0
1622564100000,36214.80000000,36376.25000000,36050.24000000,36306.39000000,38.70756800,1622564999999,1403950.58440021,788,25.70400300,932668.13675151,0
1622565000000,36303.85000000,36342.37000000,36128.28000000,36270.28000000,20.84707800,1622565899999,755305.05475062,509,12.82905800,464875.86569084,0
1622565900000,36255.57000000,36275.87000000,35727.01000000,35886.12000000,55.58719700,1622566799999,2002255.55549144,1003,24.26639100,872347.99264950,0
1622566800000,35871.37000000,35987.63000000,35724.72000000,35811.87000000,27.40836400,1622567699999,982962.43209030,651,17.90596500,642150.88872357,0
1622567700000,35802.41000000,35996.31000000,35794.90000000,35883.43000000,17.62614300,1622568599999,632613.17981929,643,8.57515900,307680.01609582,0
1622568600000,35878.21000000,36243.76000000,35850.00000000,36129.28000000,38.80954000,1622569499999,1399552.02905749,872,10.62584300,383232.99329112,0
1622569500000,36113.28000000,36201.23000000,36047.02000000,36161.40000000,21.93051500,1622570399999,792213.94643071,742,11.90241900,430025.31556701,0
1622570400000,36154.56000000,36280.62000000,36093.93000000,36196.05000000,22.64654000,1622571299999,819409.08199811,512,13.49124400,488281.93949579,0
1622571300000,36186.83000000,36290.49000000,36146.29000000,36228.76000000,14.50892400,1622572199999,525544.40261086,526,8.83399800,320029.69113431,0
1622572200000,36212.42000000,36499.99000000,36137.46000000,36433.76000000,65.98241800,1622573099999,2399871.34999744,1168,12.88078900,468103.64230148,0
1622573100000,36431.33000000,36436.23000000,36213.86000000,36225.53000000,28.33217100,1622573999999,1028796.75612727,558,21.17664800,768789.28899010,0
1622574000000,36230.10000000,36230.10000000,35939.45000000,35998.28000000,55.75492100,1622574899999,2010019.79470860,751,28.54397400,1029770.43911755,0
1622574900000,36008.50000000,36878.09000000,35948.06000000,36087.66000000,22.82575700,1622575799999,825280.86625927,636,17.22444500,623360.55980835,0
1622575800000,36078.55000000,36085.39000000,35801.00000000,35814.92000000,34.98503700,1622576699999,1257050.80486082,692,28.60233100,1027583.77718433,0
1622576700000,35827.59000000,35998.71000000,35745.20000000,35974.28000000,14.17146600,1622577599999,508396.42036753,537,4.26555800,153120.42321625,0
1622577600000,35981.94000000,36158.45000000,35865.52000000,36093.03000000,15.30252000,1622578499999,551363.21714817,527,7.75824700,279667.85329955,0
1622578500000,36079.99000000,36166.96000000,36010.98000000,36080.28000000,16.59671300,1622579399999,599278.20044223,447,2.89549600,104492.27556762,0
1622579400000,36083.64000000,36331.19000000,36061.48000000,36236.93000000,15.54134200,1622580299999,562365.02861048,476,5.33377600,193109.82003549,0
1622580300000,36250.29000000,36332.69000000,36140.16000000,36324.51000000,21.16983000,1622581199999,766974.31948554,395,11.92566900,432345.20671945,0
1622581200000,36324.51000000,36376.25000000,36237.94000000,36300.65000000,13.07856700,1622582099999,474604.36220497,365,3.92333600,142471.80903782,0
1622582100000,36301.00000000,36425.10000000,36249.65000000,36291.52000000,10.11177800,1622582999999,367320.95853446,401,4.60374900,167317.91573306,0
1622583000000,36293.24000000,36349.67000000,36049.15000000,36067.93000000,15.14362500,1622583899999,548685.50432828,506,5.09365500,184302.90832005,0
1622583900000,36095.07000000,36477.65000000,36090.56000000,36424.32000000,13.32362300,1622584799999,484081.73944790,353,7.60570300,276231.08464493,0
1622584800000,36365.46000000,36578.87000000,36319.28000000,36435.32000000,25.32848600,1622585699999,923176.22659931,405,19.60423300,714654.25227649,0
